Color,StartTime,StartDate,EndTime,EndDate,Duration,MyColor,MyStartTime,MyEndTime
Red,00:40,9-Sep-10,01:45,9-Sep-10,01 05,Red,2400000,6300000
Amber,22:10,10-Sep-10,23:25,10-Sep-10,01 15,Yellow,79800000,84300000
Red,23:25,10-Sep-10,00:40,11-Sep-10,01 15,Red,84300000,88800000
Amber,20:05,20-Sep-10,21:50,20-Sep-10,01 45,Yellow,72300000,78600000
Amber,01:55,21-Sep-10,02:40,21-Sep-10,00 45,Yellow,6900000,9600000
Red,02:40,21-Sep-10,04:55,21-Sep-10,02 15,Red,9600000,17700000
Amber,04:55,21-Sep-10,05:25,21-Sep-10,00 30,Yellow,17700000,19500000
Amber,15:55,17-Apr-11,17:00,17-Apr-11,01 05,Yellow,57300000,61200000
Amber,05:30,13-May-11,08:00,13-May-11,02 30,Yellow,19800000,28800000
Amber,10:45,22-May-11,11:10,22-May-11,00 25,Yellow,38700000,40200000
Red,11:10,22-May-11,14:45,22-May-11,03 35,Red,40200000,53100000
Amber,20:45,22-May-11,21:55,22-May-11,01 10,Yellow,74700000,78900000
Red,21:55,22-May-11,23:25,22-May-11,01 30,Red,78900000,84300000
Amber,23:25,22-May-11,00:25,23-May-11,01 00,Yellow,84300000,87900000
Amber,17:50,11-Jun-11,20:05,11-Jun-11,02 15,Yellow,64200000,72300000
Amber,06:15,12-Jun-11,09:20,12-Jun-11,03 05,Yellow,22500000,33600000
Amber,08:45,16-Jun-11,11:45,16-Jun-11,03 00,Yellow,31500000,42300000
Amber,02:50,17-Jun-11,04:00,17-Jun-11,01 10,Yellow,10200000,14400000
Amber,14:25,28-Jun-11,16:05,28-Jun-11,01 40,Yellow,51900000,57900000
Amber,13:35,29-Jun-11,15:20,29-Jun-11,01 45,Yellow,48900000,55200000
Amber,00:30,16-Jul-11,02:50,16-Jul-11,02 20,Yellow,1800000,10200000
Amber,13:40,10-Aug-11,15:30,10-Aug-11,01 50,Yellow,49200000,55800000
Amber,18:15,19-Sep-11,19:30,19-Sep-11,01 15,Yellow,65700000,70200000
Amber,16:40,16-Apr-12,19:10,16-Apr-12,02 30,Yellow,60000000,69000000
Amber,10:55,20-Apr-12,12:20,20-Apr-12,01 25,Yellow,39300000,44400000
Amber,15:20,27-Apr-12,17:30,27-Apr-12,02 10,Yellow,55200000,63000000
Amber,06:10,29-Apr-12,08:30,29-Apr-12,02 20,Yellow,22200000,30600000
Red,08:30,29-Apr-12,10:10,29-Apr-12,01 40,Red,30600000,36600000
Amber,21:20,4-May-12,23:55,4-May-12,02 35,Yellow,76800000,86100000
Amber,08:55,18-May-12,10:45,18-May-12,01 50,Yellow,32100000,38700000
Amber,11:05,26-May-12,12:50,26-May-12,01 45,Yellow,39900000,46200000
Amber,02:40,28-May-12,04:35,28-May-12,01 55,Yellow,9600000,16500000
Amber,15:15,13-Jun-12,16:40,13-Jun-12,01 25,Yellow,54900000,60000000
Amber,09:20,5-Jul-12,10:20,5-Jul-12,01 00,Yellow,33600000,37200000
Amber,06:10,18-Jul-12,08:20,18-Jul-12,02 10,Yellow,22200000,30000000
Amber,17:35,21-Jul-12,18:40,21-Jul-12,01 05,Yellow,63300000,67200000
Amber,01:55,24-Jul-12,10:40,24-Jul-12,08 45,Yellow,6900000,38400000
Amber,11:30,25-Jul-12,14:20,25-Jul-12,02 50,Yellow,41400000,51600000
Amber,11:00,27-Jul-12,12:30,27-Jul-12,01 30,Yellow,39600000,45000000
Amber,17:10,31-Jul-12,18:35,31-Jul-12,01 25,Yellow,61800000,66900000
Amber,06:40,11-Aug-12,08:25,11-Aug-12,01 45,Yellow,24000000,30300000
Amber,13:20,24-Sep-12,14:20,24-Sep-12,01 00,Yellow,48000000,51600000
Amber,20:40,24-Sep-12,21:50,24-Sep-12,01 10,Yellow,74400000,78600000
Red,21:50,24-Sep-12,00:50,25-Sep-12,03 00,Red,78600000,89400000
Amber,15:50,19-Mar-13,19:15,19-Mar-13,03 25,Yellow,57000000,69300000
Amber,16:50,26-Mar-13,19:35,26-Mar-13,02 45,Yellow,60600000,70500000
Amber,08:40,5-Apr-13,10:30,5-Apr-13,01 50,Yellow,31200000,37800000
Amber,00:00,6-Apr-13,02:30,6-Apr-13,02 30,Yellow,0,9000000
Amber,19:30,25-Apr-13,21:00,25-Apr-13,01 30,Yellow,70200000,75600000
Amber,14:20,30-Apr-13,16:15,30-Apr-13,01 55,Yellow,51600000,58500000
Amber,21:45,8-May-13,01:30,9-May-13,03 45,Yellow,78300000,91800000
Amber,13:35,16-May-13,15:20,16-May-13,01 45,Yellow,48900000,55200000
Amber,20:10,20-May-13,21:20,20-May-13,01 10,Yellow,72600000,76800000
Amber,11:10,21-May-13,12:30,21-May-13,01 20,Yellow,40200000,45000000
Amber,01:30,22-May-13,03:20,22-May-13,01 50,Yellow,5400000,12000000
Red,03:20,22-May-13,04:10,22-May-13,00 50,Red,12000000,15000000
Black,04:10,22-May-13,09:45,22-May-13,05 35,Black,15000000,35100000
Amber,09:45,22-May-13,10:30,22-May-13,00 45,Yellow,35100000,37800000
Amber,10:05,25-May-13,12:25,25-May-13,02 20,Yellow,36300000,44700000
Amber,02:10,11-Jun-13,05:15,11-Jun-13,03 05,Yellow,7800000,18900000
Amber,10:50,11-Jun-13,12:00,11-Jun-13,01 10,Yellow,39000000,43200000
Amber,06:15,24-Jun-13,10:20,24-Jun-13,04 05,Yellow,22500000,37200000
Red,10:20,24-Jun-13,11:35,24-Jun-13,01 15,Red,37200000,41700000
Amber,11:35,24-Jun-13,12:00,24-Jun-13,00 25,Yellow,41700000,43200000
Amber,16:05,7-Jul-13,17:15,7-Jul-13,01 10,Yellow,57900000,62100000
Amber,23:35,14-Jul-13,01:05,15-Jul-13,01 30,Yellow,84900000,90300000
Amber,08:00,26-Jul-13,10:30,26-Jul-13,02 30,Yellow,28800000,37800000
Amber,03:40,30-Aug-13,05:15,30-Aug-13,01 35,Yellow,13200000,18900000
Amber,07:55,30-Aug-13,09:20,30-Aug-13,01 25,Yellow,28500000,33600000
Amber,07:30,4-Sep-13,11:00,4-Sep-13,03 30,Yellow,27000000,39600000
Amber,11:10,29-Mar-14,12:20,29-Mar-14,01 10,Yellow,40200000,44400000
Amber,19:45,30-Mar-14,20:15,30-Mar-14,00 30,Yellow,71100000,72900000
Red,20:15,30-Mar-14,20:40,30-Mar-14,00 25,Red,72900000,74400000
Black,20:40,30-Mar-14,22:30,30-Mar-14,01 50,Black,74400000,81000000
Amber,22:30,30-Mar-14,01:50,31-Mar-14,03 20,Yellow,81000000,93000000
Amber,08:40,31-Mar-14,11:40,31-Mar-14,03 00,Yellow,31200000,42000000
Amber,04:45,3-Apr-14,06:00,3-Apr-14,01 15,Yellow,17100000,21600000
Amber,02:00,5-May-14,03:45,5-May-14,01 45,Yellow,7200000,13500000
Amber,20:45,8-May-14,22:05,8-May-14,01 20,Yellow,74700000,79500000
Red,22:05,8-May-14,22:30,8-May-14,00 25,Red,79500000,81000000
Black,22:30,8-May-14,23:40,8-May-14,01 10,Black,81000000,85200000
Red,23:40,8-May-14,00:15,9-May-14,00 35,Red,85200000,87300000
Amber,00:15,9-May-14,02:05,9-May-14,01 50,Yellow,900000,7500000
Amber,08:30,9-May-14,10:20,9-May-14,01 50,Yellow,30600000,37200000
Amber,20:50,9-May-14,22:20,9-May-14,01 30,Yellow,75000000,80400000
Amber,07:55,11-May-14,11:55,11-May-14,04 00,Yellow,28500000,42900000
Amber,14:15,11-May-14,21:50,11-May-14,07 35,Yellow,51300000,78600000
Red,21:50,11-May-14,23:55,11-May-14,02 05,Red,78600000,86100000
Amber,23:55,11-May-14,03:55,12-May-14,04 00,Yellow,86100000,100500000
Amber,15:30,20-May-14,17:15,20-May-14,01 45,Yellow,55800000,62100000
Amber,03:15,21-May-14,06:40,21-May-14,03 25,Yellow,11700000,24000000
Amber,21:35,8-Jun-14,22:00,8-Jun-14,00 25,Yellow,77700000,79200000
Red,22:00,8-Jun-14,23:10,8-Jun-14,01 10,Red,79200000,83400000
Amber,23:10,8-Jun-14,23:45,8-Jun-14,00 35,Yellow,83400000,85500000
Amber,08:30,21-Jun-14,10:50,21-Jun-14,02 20,Yellow,30600000,39000000
Amber,01:20,22-Jun-14,02:05,22-Jun-14,00 45,Yellow,4800000,7500000
Red,02:05,22-Jun-14,05:05,22-Jun-14,03 00,Red,7500000,18300000
Amber,05:05,22-Jun-14,06:25,22-Jun-14,01 20,Yellow,18300000,23100000
Amber,15:50,22-Jul-14,17:00,22-Jul-14,01 10,Yellow,57000000,61200000
Amber,22:15,24-Jul-14,23:15,24-Jul-14,01 00,Yellow,80100000,83700000
Amber,20:15,1-Aug-14,21:45,1-Aug-14,01 30,Yellow,72900000,78300000
Amber,00:40,3-Aug-14,01:15,3-Aug-14,00 35,Yellow,2400000,4500000
Amber,18:35,12-Aug-14,19:15,12-Aug-14,00 40,Yellow,66900000,69300000
Red,19:15,12-Aug-14,20:30,12-Aug-14,01 15,Red,69300000,73800000
Amber,05:25,13-Aug-14,05:55,13-Aug-14,00 30,Yellow,19500000,21300000
Red,05:55,13-Aug-14,07:15,13-Aug-14,01 20,Red,21300000,26100000
Amber,07:15,13-Aug-14,08:50,13-Aug-14,01 35,Yellow,26100000,31800000
Amber,10:50,13-Aug-14,11:25,13-Aug-14,00 35,Yellow,39000000,41100000
Red,11:25,13-Aug-14,13:00,13-Aug-14,01 35,Red,41100000,46800000
Amber,13:00,13-Aug-14,15:55,13-Aug-14,02 55,Yellow,46800000,57300000
Amber,05:00,20-Aug-14,06:50,20-Aug-14,01 50,Yellow,18000000,24600000
Amber,01:55,1-Oct-14,03:30,1-Oct-14,01 35,Yellow,6900000,12600000
Amber,20:05,3-Oct-14,21:45,3-Oct-14,01 40,Yellow,72300000,78300000
Amber,17:25,11-May-15,19:35,11-May-15,02 10,Yellow,62700000,70500000
Amber,16:45,20-May-15,17:30,20-May-15,00 45,Yellow,60300000,63000000
Red,17:30,20-May-15,19:40,20-May-15,02 10,Red,63000000,70800000
Amber,19:40,20-May-15,03:00,21-May-15,07 20,Yellow,70800000,97200000
Amber,03:30,23-May-15,07:20,23-May-15,03 50,Yellow,12600000,26400000
Amber,10:10,23-May-15,11:05,23-May-15,00 55,Yellow,36600000,39900000
Amber,14:40,23-May-15,16:05,23-May-15,01 25,Yellow,52800000,57900000
Red,16:05,23-May-15,18:30,23-May-15,02 25,Red,57900000,66600000
Amber,18:30,23-May-15,19:20,23-May-15,00 50,Yellow,66600000,69600000
Amber,16:30,24-May-15,17:40,24-May-15,01 10,Yellow,59400000,63600000
Amber,09:40,26-May-15,10:00,26-May-15,00 20,Yellow,34800000,36000000
Red,10:00,26-May-15,10:25,26-May-15,00 25,Red,36000000,37500000
Black,10:25,26-May-15,11:30,26-May-15,01 05,Black,37500000,41400000
Amber,11:30,26-May-15,12:30,26-May-15,01 00,Yellow,41400000,45000000
Amber,03:00,12-Jun-15,04:20,12-Jun-15,01 20,Yellow,10800000,15600000
Amber,07:05,21-Jul-15,08:25,21-Jul-15,01 20,Yellow,25500000,30300000
Amber,03:35,22-Jul-15,15:30,22-Jul-15,11 55,Yellow,12900000,55800000
Amber,19:30,9-Aug-15,21:30,9-Aug-15,02 00,Yellow,70200000,77400000
Amber,06:45,15-Aug-15,08:00,15-Aug-15,01 15,Yellow,24300000,28800000
Red,08:00,15-Aug-15,10:25,15-Aug-15,02 25,Red,28800000,37500000
Amber,10:25,15-Aug-15,11:00,15-Aug-15,00 35,Yellow,37500000,39600000
Amber,05:35,2-Sep-15,06:50,2-Sep-15,01 15,Yellow,20100000,24600000
Amber,06:15,21-Sep-15,09:25,21-Sep-15,03 10,Yellow,22500000,33900000
Amber,14:20,26-Sep-15,15:40,26-Sep-15,01 20,Yellow,51600000,56400000
Amber,21:45,3-Oct-15,00:25,4-Oct-15,02 40,Yellow,78300000,87900000
Amber,04:25,4-Oct-15,05:45,4-Oct-15,01 20,Yellow,15900000,20700000
Amber,14:00,5-Jan-16,14:45,5-Jan-16,00 45,Yellow,50400000,53100000
Amber,16:35,4-Apr-16,19:25,4-Apr-16,02 50,Yellow,59700000,69900000
Amber,09:30,10-Apr-16,11:40,10-Apr-16,02 10,Yellow,34200000,42000000
Amber,06:30,13-Apr-16,12:00,13-Apr-16,05 30,Yellow,23400000,43200000
Amber,08:20,22-Apr-16,09:45,22-Apr-16,01 25,Yellow,30000000,35100000
Amber,18:10,3-May-16,20:55,3-May-16,02 45,Yellow,65400000,75300000
Amber,06:00,10-May-16,07:35,10-May-16,01 35,Yellow,21600000,27300000
Red,07:35,10-May-16,09:35,10-May-16,02 00,Red,27300000,34500000
Amber,09:35,10-May-16,11:20,10-May-16,01 45,Yellow,34500000,40800000
Red,11:20,10-May-16,13:45,10-May-16,02 25,Red,40800000,49500000
Amber,13:45,10-May-16,14:45,10-May-16,01 00,Yellow,49500000,53100000
Amber,01:55,21-May-16,06:15,21-May-16,04 20,Yellow,6900000,22500000
Amber,16:35,28-May-16,18:40,28-May-16,02 05,Yellow,59700000,67200000
Amber,06:25,6-Jun-16,07:45,6-Jun-16,01 20,Yellow,23100000,27900000
Amber,11:30,6-Jun-16,14:45,6-Jun-16,03 15,Yellow,41400000,53100000
Amber,04:45,8-Jun-16,06:00,8-Jun-16,01 15,Yellow,17100000,21600000
Amber,03:35,11-Jun-16,07:45,11-Jun-16,04 10,Yellow,12900000,27900000
Amber,08:35,6-Jul-16,10:50,6-Jul-16,02 15,Yellow,30900000,39000000
Amber,21:55,9-Jul-16,23:10,9-Jul-16,01 15,Yellow,78900000,83400000
Amber,07:35,13-Jul-16,09:15,13-Jul-16,01 40,Yellow,27300000,33300000
Amber,05:20,2-Aug-16,10:45,2-Aug-16,05 25,Yellow,19200000,38700000
Amber,12:30,9-Aug-16,13:30,9-Aug-16,01 00,Yellow,45000000,48600000
Amber,06:10,10-Aug-16,06:55,10-Aug-16,00 45,Yellow,22200000,24900000
Red,06:55,10-Aug-16,08:35,10-Aug-16,01 40,Red,24900000,30900000
Amber,08:35,10-Aug-16,10:10,10-Aug-16,01 35,Yellow,30900000,36600000
Amber,02:20,21-Aug-16,04:10,21-Aug-16,01 50,Yellow,8400000,15000000
